"","ppt_id","head_noun","card","pair_type","trial_result","head_noun_tag","dep","AoA","Conc.M","Dom_Pos","Lg10WF"
"113",84,"thing","Newspaper","Stranger","Out of time","NN","attr",5.78,4.82,"Noun",3.0824
"114",84,"quarters","Fall","Stranger","Won","NNS","nsubj",4.71,4.04,"Verb",3.7814
"115",84,"one","Fall","Stranger","Won","NN","attr",4.71,4.04,"Verb",3.7814
"116",84,"jewel","Diamond","Stranger","Won","NN","attr",6.47,4.89,"Noun",3.0228
"117",84,"river","Canoe","Stranger","Won","NN","pobj",6.63,4.86,"Noun",2.2625
"118",84,"point","Score","Stranger","Out of time","NN","dobj",5.83,3.38,"Noun",3.1912
"119",84,"board","Score","Stranger","Out of time","NN","pobj",5.83,3.38,"Noun",3.1912
"120",84,"point","Score","Stranger","Out of time","NN","dobj",5.83,3.38,"Noun",3.1912
"121",84,"message","Decipher","Stranger","Out of time","NN","dobj",10.84,2.83,"Verb",1.9445
"122",84,"language","Decipher","Stranger","Out of time","NN","pobj",10.84,2.83,"Verb",1.9445
"123",84,"car","Decipher","Stranger","Out of time","NN","dobj",10.84,2.83,"Verb",1.9445
"124",84,"planet","Gravity","Stranger","Won","NN","ROOT",8.39,2.86,"Noun",2.5465
"125",84,"system","Gravity","Stranger","Won","NN","pobj",8.39,2.86,"Noun",2.5465
"126",84,"sun","Gravity","Stranger","Won","NN","pobj",8.39,2.86,"Noun",2.5465
"127",84,"opening","Tunnel","Stranger","Out of time","NN","attr",5.89,4.82,"Noun",2.9605
"128",84,"opening","Tunnel","Stranger","Out of time","NN","attr",5.89,4.82,"Noun",2.9605
"129",84,"hill","Tunnel","Stranger","Out of time","NN","dobj",5.89,4.82,"Noun",2.9605
"130",84,"opening","Tunnel","Stranger","Out of time","NN","attr",5.89,4.82,"Noun",2.9605
"131",84,"hills","Tunnel","Stranger","Out of time","NNS","pobj",5.89,4.82,"Noun",2.9605
"132",84,"insect","Butterfly","Stranger","Won","NN","attr",3.67,4.93,"Noun",2.4502
"133",84,"worm","Butterfly","Stranger","Won","NN","pobj",3.67,4.93,"Noun",2.4502
"134",84,"subject","Ancient","Stranger","Lost","NN","attr",8.26,2.04,"Adjective",3.0438
"135",84,"hands","Know","Stranger","Out of time","NNS","dobj",4.5,1.68,"Verb",5.4651
"136",84,"footwear","Know","Stranger","Out of time","NN","pobj",4.5,1.68,"Verb",5.4651
"137",84,"part","Know","Stranger","Out of time","NN","attr",4.5,1.68,"Verb",5.4651
"138",84,"stomach","Know","Stranger","Out of time","NN","pobj",4.5,1.68,"Verb",5.4651
"139",84,"set","Museum","Stranger","Won","NN","dobj",8.55,4.6,"Noun",2.9745
"140",84,"movies","Museum","Stranger","Won","NNS","pobj",8.55,4.6,"Noun",2.9745
"141",84,"guard","Museum","Stranger","Won","NN","pobj",8.55,4.6,"Noun",2.9745
"142",84,"rug","Mop","Stranger","Lost","NN","dobj",5.11,4.97,"Noun",2.3263
"143",84,"floor","Mop","Stranger","Lost","NN","pobj",5.11,4.97,"Noun",2.3263
"144",84,"place","Diner","Stranger","Won","NN","attr",6.83,4.82,"Noun",2.8014
"145",84,"kind","Diner","Stranger","Won","NN","attr",6.83,4.82,"Noun",2.8014
"146",81,"action","Dip","Stranger","Out of time","NN","pobj",7,4.22,"Verb",2.6096
"147",81,"feet","Blister","Stranger","Out of time","NNS","pobj",6.74,4.71,"Noun",1.6902
"148",81,"teammate","Dribble","Stranger","Out of time","NN","pobj",6.5,3.83,"Verb",1.8388
"149",25,"ype","Cottage","Friend","Out of time","NN","attr",8.5,4.85,"Noun",2.433
"150",25,"type","Cottage","Friend","Out of time","NN","pobj",8.5,4.85,"Noun",2.433
"151",25,"attention","Headline","Friend","Out of time","NN","dobj",8.11,4.04,"Noun",2.1239
"152",25,"part","Headline","Friend","Out of time","NN","attr",8.11,4.04,"Noun",2.1239
"153",25,"top","Headline","Friend","Out of time","NN","pobj",8.11,4.04,"Noun",2.1239
"154",25,"body","Headline","Friend","Out of time","NN","pobj",8.11,4.04,"Noun",2.1239
"155",25,"stem","Cherry","Friend","Won","NN","pobj",5.58,4.62,"Noun",2.8414
"156",25,"tongue","Cherry","Friend","Won","NN","pobj",5.58,4.62,"Noun",2.8414
"157",25,"people","Ache","Friend","Won","NNS","nsubj",5.79,3.43,"Noun",2.1072
"158",25,"knees","Ache","Friend","Won","NNS","pobj",5.79,3.43,"Noun",2.1072
"159",25,"tooth","Ache","Friend","Won","NN","pobj",5.79,3.43,"Noun",2.1072
"160",25,"price","Bargain","Friend","Lost","NN","attr",8.72,2.59,"Noun",2.7875
"161",25,"branch","Army","Friend","Won","NN","attr",7.15,4.7,"Noun",3.6406
"162",25,"type","Army","Friend","Won","NN","attr",7.15,4.7,"Noun",3.6406
"163",25,"reflex","Motorcycle","Friend","Won","NN","attr",5.05,4.97,"Noun",2.659
"164",25,"harvey","Bald","Friend","Won","NN","dobj",7.26,4.69,"Adjective",2.6964
"165",25,"building","Barn","Friend","Won","NN","attr",4.5,4.79,"Noun",2.8414
"166",25,"country","Barn","Friend","Won","NN","pobj",4.5,4.79,"Noun",2.8414
"167",25,"lights","Battery","Friend","Won","NNS","ROOT",5.58,4.67,"Noun",2.8021
"168",25,"ocean","Boardwalk","Friend","Out of time","NN","ROOT",8.94,4.78,"Noun",1.9777
"169",25,"place","Boardwalk","Friend","Out of time","NN","attr",8.94,4.78,"Noun",1.9777
"170",25,"lot","Boardwalk","Friend","Out of time","NN","dobj",8.94,4.78,"Noun",1.9777
"171",25,"bags","Airport","Friend","Won","NNS","dobj",6.84,4.87,"Noun",3.288
"172",25,"spectrum","Extreme","Friend","Lost","NN","pobj",9.47,1.96,"Adjective",2.7474
"173",25,"one","Extreme","Friend","Lost","NN","dobj",9.47,1.96,"Adjective",2.7474
"174",25,"vine","Cowboy","Friend","Won","NN","attr",4.55,4.72,"Noun",2.9863
"175",25,"blank","Cowboy","Friend","Won","NN","attr",4.55,4.72,"Noun",2.9863
"176",25,"fart","Burp","Friend","Won","NN","pobj",4.67,4.34,"Verb",1.8261
"177",25,"mouth","Burp","Friend","Won","NN","pobj",4.67,4.34,"Verb",1.8261
"178",25,"side","Fingerprint","Stranger","Out of time","NN","pobj",7.56,4.96,"Noun",2.2148
"179",25,"chair","Bench","Stranger","Won","NN","pobj",4.21,4.87,"Noun",2.6937
"180",25,"place","Fame","Stranger","Lost","NN","attr",7.26,1.96,"Noun",2.6454
"181",25,"side","Fame","Stranger","Lost","NN","pobj",7.26,1.96,"Noun",2.6454
"182",25,"case","Daydream","Stranger","Lost","NN","pobj",7.74,2.79,"Verb",1.699
"183",25,"day","Daydream","Stranger","Lost","NN","pobj",7.74,2.79,"Verb",1.699
"184",25,"test","Cartoon","Stranger","Won","NN","pobj",3.11,4.33,"Noun",2.2856
"185",25,"answers","Cartoon","Stranger","Won","NNS","dobj",3.11,4.33,"Noun",2.2856
"186",25,"triangle","Pyramid","Stranger","Won","NN","attr",7.61,4.96,"Noun",2.3118
"187",25,"bathroom","Bath","Stranger","Won","NN","pobj",3.23,4.85,"Noun",3.2009
"188",25,"type","Aspirin","Stranger","Lost","NN","attr",7.95,4.76,"Noun",2.5977
"189",25,"colors","Balloon","Stranger","Lost","NNS","pobj",4.37,4.92,"Noun",2.6464
"190",25,"one","Balloon","Stranger","Lost","NN","attr",4.37,4.92,"Noun",2.6464
"191",25,"balloon","Balloon","Stranger","Lost","NN","attr",4.37,4.92,"Noun",2.6464
"192",25,"lot","Dust","Stranger","Won","NN","attr",5.06,4.4,"Noun",3.0853
"193",25,"vehicle","Drive","Stranger","Won","NN","pobj",5.26,3.86,"Verb",3.8927
"194",25,"airplane","Drive","Stranger","Won","NN","dobj",5.26,3.86,"Verb",3.8927
"195",25,"game","Cheer","Stranger","Won","NN","pobj",5,2.77,"Verb",2.9795
"196",25,"wilderness","Cheer","Stranger","Won","NN","pobj",5,2.77,"Verb",2.9795
"197",25,"one","Bridge","Stranger","Won","NN","attr",5.58,4.97,"Noun",3.3677
"198",25,"noses","Clown","Stranger","Lost","NNS","dobj",3.72,4.9,"Noun",2.9074
"199",25,"laughter","Clown","Stranger","Lost","NN","ROOT",3.72,4.9,"Noun",2.9074
"200",26,"people","Scarecrow","Friend","Won","NNS","nsubj",5.56,4.68,"Noun",1.9542
"201",26,"mouth","Scarecrow","Friend","Won","NN","pobj",5.56,4.68,"Noun",1.9542
"202",26,"hat","Scarecrow","Friend","Won","NN","pobj",5.56,4.68,"Noun",1.9542
"203",26,"shirt","Scarecrow","Friend","Won","NN","pobj",5.56,4.68,"Noun",1.9542
"204",26,"flannel","Scarecrow","Friend","Won","NN","pobj",5.56,4.68,"Noun",1.9542
"205",26,"house","Scarecrow","Friend","Won","NN","pobj",5.56,4.68,"Noun",1.9542
"206",26,"disease","Waffle","Friend","Out of time","NN","attr",5.32,4.71,"Noun",2.0374
"207",26,"blank","Waffle","Friend","Out of time","NN","pobj",5.32,4.71,"Noun",2.0374
"208",26,"word","Waffle","Friend","Out of time","NN","pobj",5.32,4.71,"Noun",2.0374
"209",26,"school","Waffle","Friend","Out of time","NN","pobj",5.32,4.71,"Noun",2.0374
"210",26,"kid","Ransom","Friend","Out of time","NN","pobj",9.83,3.31,"Noun",2.6981
