rt,session_id,button_pressed,card,critical_trial,color,pair_type,trial_result,trial_with_partner,Participant ID,Session Number,Deck Color,Order,MINT_Score_Uncued_Correct,ppt_id,Gender,Native_Speaker,Played_before,Taboo_expertise,partner_id,partner_closeness
28766,1,1,Bald,yes,Blue,Stranger,Lost,3,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
27334,1,0,Chocolate,yes,Blue,Stranger,Won,4,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10223,1,0,Bath,yes,Blue,Stranger,Won,5,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
21765,1,0,Dip,yes,Blue,Stranger,Won,6,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
11541,1,1,Crawl,yes,Blue,Stranger,Lost,7,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
21266,1,1,Cartoon,yes,Blue,Stranger,Lost,8,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
15966,1,1,Army,yes,Blue,Stranger,Lost,9,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
8007,1,0,Bikini,yes,Blue,Stranger,Won,10,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
6411,1,1,Flames,yes,Blue,Stranger,Lost,11,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
23349,1,0,Barn,yes,Blue,Stranger,Won,12,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
17720,1,0,Hose,yes,Blue,Stranger,Won,13,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
21503,1,0,Angel,yes,Blue,Stranger,Won,14,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
9884,1,1,Bargain,yes,Blue,Stranger,Lost,15,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
6925,1,1,Dribble,yes,Blue,Stranger,Lost,16,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
29266,1,1,Calories,yes,Blue,Stranger,Lost,17,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10727,1,0,Breeze,yes,Blue,Stranger,Won,18,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
4482,1,1,Design,yes,Blue,Stranger,Lost,19,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
6001,1,1,Freshen,yes,Blue,Stranger,Lost,20,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10619,1,0,Beret,yes,Blue,Stranger,Won,21,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
8825,1,1,Champagne,yes,Blue,Stranger,Lost,22,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10669,1,0,Blister,yes,Blue,Stranger,Won,23,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10400,1,0,Airport,yes,Blue,Stranger,Won,24,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
7807,1,0,Luggage,yes,Blue,Stranger,Won,25,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
19560,1,1,Daydream,yes,Blue,Stranger,Lost,26,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
21212,1,0,Cactus,yes,Blue,Stranger,Won,27,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
10300,1,0,Bartender,yes,Blue,Stranger,Won,28,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
6826,1,1,Bloom,yes,Blue,Stranger,Lost,29,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
20505,1,0,Backpack,yes,Blue,Stranger,Won,30,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
9098,1,1,Bag,yes,Blue,Stranger,Lost,31,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
7941,1,1,Ladybug,yes,Blue,Stranger,Lost,32,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
7748,1,0,Battery,yes,Blue,Stranger,Won,33,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
12527,1,0,Farm,yes,Blue,Stranger,Won,34,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
20773,1,0,Bakery,yes,Blue,Stranger,Won,35,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
15169,1,1,Boardwalk,yes,Blue,Stranger,Lost,36,1,1,Blue,Friend_Stranger,21,1,Female,Yes,No,2,2,0
,1,,Straw,yes,Red,Friend,Out of time,1,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Piano,yes,Red,Friend,Out of time,2,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
25412,1,0,Tweezers,yes,Red,Friend,Won,3,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
21112,1,1,Outhouse,yes,Red,Friend,Lost,4,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Strategy,yes,Red,Friend,Out of time,5,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
8693,1,0,Stars,yes,Red,Friend,Won,6,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
16674,1,1,Scarecrow,yes,Red,Friend,Lost,7,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Truffle,yes,Red,Friend,Out of time,8,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
11105,1,0,Sweat,yes,Red,Friend,Won,9,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
16022,1,1,Secret,yes,Red,Friend,Lost,10,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
15967,1,0,Tropical,yes,Red,Friend,Won,11,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
8866,1,1,Snowman,yes,Red,Friend,Lost,12,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
17022,1,1,Pin,yes,Red,Friend,Lost,13,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Salt,yes,Red,Friend,Out of time,14,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
22924,1,0,Peak,yes,Red,Friend,Won,15,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
19469,1,0,Trophy,yes,Red,Friend,Won,16,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
29736,1,0,Yesterday,yes,Red,Friend,Won,17,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
10027,1,1,Suds,yes,Red,Friend,Lost,18,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
23969,1,1,Scoop,yes,Red,Friend,Lost,19,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
6734,1,1,Oatmeal,yes,Red,Friend,Lost,20,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
6909,1,1,Polo,yes,Red,Friend,Lost,21,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Tip,yes,Red,Friend,Out of time,22,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
24736,1,0,Waiter,yes,Red,Friend,Won,23,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
14279,1,0,Helmet,yes,Red,Friend,Won,24,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
21315,1,1,Mad,yes,Red,Friend,Lost,25,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
,1,,Wishing Well,yes,Red,Friend,Out of time,26,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,4,6
22808,1,0,Parsley,yes,Red,Stranger,Won,1,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
9630,1,0,Tired,yes,Red,Stranger,Won,2,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
23400,1,0,Valet,yes,Red,Stranger,Won,3,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
,1,,Pound,yes,Red,Stranger,Out of time,4,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
16584,1,0,Touch,yes,Red,Stranger,Won,5,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
,1,,Street,yes,Red,Stranger,Out of time,6,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
23543,1,0,Tuxedo,yes,Red,Stranger,Won,7,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
17521,1,0,Tent,yes,Red,Stranger,Won,8,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
17125,1,0,Windmill,yes,Red,Stranger,Won,9,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
23964,1,0,Zebra,yes,Red,Stranger,Won,10,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
13066,1,0,Mirror,yes,Red,Stranger,Won,11,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
14472,1,0,Knife,yes,Red,Stranger,Won,12,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
26808,1,1,Stiff,yes,Red,Stranger,Lost,13,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
16631,1,0,Snack,yes,Red,Stranger,Won,14,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
14100,1,0,Pool,yes,Red,Stranger,Won,15,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
8630,1,0,Static,yes,Red,Stranger,Won,16,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
10114,1,0,Manicure,yes,Red,Stranger,Won,17,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
11302,1,0,Snowflake,yes,Red,Stranger,Won,18,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
23684,1,0,Shrimp,yes,Red,Stranger,Won,19,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
12064,1,0,Stomach,yes,Red,Stranger,Won,20,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
9599,1,1,Hamster,yes,Red,Stranger,Lost,21,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
11849,1,0,Teacher,yes,Red,Stranger,Won,22,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
15259,1,1,Vitamin C,yes,Red,Stranger,Lost,23,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
7562,1,0,Theme Park,yes,Red,Stranger,Won,24,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
20868,1,0,Yawn,yes,Red,Stranger,Won,25,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
12010,1,1,Violin,yes,Red,Stranger,Lost,26,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
27645,1,0,Yo-Yo,yes,Red,Stranger,Won,27,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
10402,1,1,Trolley Car,yes,Red,Stranger,Lost,28,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
9750,1,0,Spatula,yes,Red,Stranger,Won,29,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
23872,1,1,Smear,yes,Red,Stranger,Lost,30,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
21346,1,1,Tweet,yes,Red,Stranger,Lost,31,2,1,Red,Friend_Stranger,20,2,Female,Yes,No,2,1,0
6181,1,1,In-Law,yes,Purple,Friend,Lost,1,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
20398,1,1,Silk,yes,Purple,Friend,Lost,2,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
17582,1,0,Lake,yes,Purple,Friend,Won,3,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
12556,1,0,Test,yes,Purple,Friend,Won,4,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
13609,1,0,Peacock,yes,Purple,Friend,Won,5,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
17472,1,1,Scenery,yes,Purple,Friend,Lost,6,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
,1,,Huddle,yes,Purple,Friend,Out of time,7,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
30173,1,1,Leftovers,yes,Purple,Friend,Lost,8,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
16174,1,0,Jury,yes,Purple,Friend,Won,9,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
